,title_list,video_urls,video_IDs,thumbnails
0,YouTube web scraping and Video Downloader Project in Python .....Machine Learning....In a Mute way,https://www.youtube.com/watch?v=LXnxjEpwUvI,LXnxjEpwUvI,http://img.youtube.com/vi/LXnxjEpwUvI/maxresdefault.jpg
1,List Comprehension,https://www.youtube.com/watch?v=VIiz5n4TKoM,VIiz5n4TKoM,http://img.youtube.com/vi/VIiz5n4TKoM/maxresdefault.jpg
